REKAP ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;
;;;;;
;;;;;
;;;;;
HARGA SATUAN PEKERJAAN;;;;;
No;Kode;;Jenis Pekerjaan;Satuan;Harga
207;PPL27;A.4.4.3.27.;Pemasangan 1 m’ plint ubin teralux kerang ukuran 10cm x 30cm;m';Rp78.811
208;PPL28;A.4.4.3.28.;Pemasangan 1 m’ plint ubin teralux marmer ukuran 10cm x 60cm;m';Rp50.542
209;PPL29;A.4.4.3.29.;Pemasangan 1 m’ plint ubin teralux marmer ukuran 10cm x 40cm;m';Rp65.708
210;PPL30;A.4.4.3.30.;Pemasangan 1 m’ plint ubin teralux marmer ukuran 10cm x 30cm;m';Rp79.970
211;PPL31;A.4.4.3.31.;Pemasangan 1 m2 lantai teraso cor di tempat, tebal 3cm;m2;Rp99.565
212;PPL32;A.4.4.3.32.;Pemasangan 1 m2 lantai keramik artistik 10cm x 20cm;m2;Rp256.128
213;PPL33;A.4.4.3.33.;Pemasangan 1 m2 lantai keramik artistik 10cm x 10cm atau 5cm x 20cm;m2;Rp285.896
214;PPL34;A.4.4.3.34.;Pemasangan 1 m2 lantai keramik ukuran 33cm x 33cm;m2;Rp241.642
215;PPL35;A.4.4.3.35.;Pemasangan 1 m2 lantai keramik ukuran 30cm x 30cm;m2;Rp242.337
216;PPL36;A.4.4.3.36.;Pemasangan 1 m2 lantai keramik ukuran 20cm x 20cm;m2;Rp245.598
217;PPL37;A.4.4.3.36.a;Pemasangan 1 m2 lantai keramik ukuran 40cm x 40cm;m2;Rp252.794
218;PPL38;A.4.4.3.36.b;Pemasangan 1 m2 lantai keramik ukuran 50cm x 50cm;m2;Rp256.878
219;PPL39;A.4.4.3.36.c;Pemasangan 1 m2 lantai keramik ukuran 60cm x 60cm;m2;Rp232.330
220;PPL40;A.4.4.3.36.d;Pemasangan 1 m2 lantai Granit ukuran 60cm x 60cm;m2;Rp442.110
221;PPL41;A.4.4.3.37.;Pemasangan 1 m2 keramik ukuran 10cm x 33cm untuk variasi/border;m2;Rp526.773
222;PPL42;A.4.4.3.38.;Pemasangan 1 m2 lantai keramik mozaik ukuran 30cm x 30cm;m2;Rp267.436
223;PPL43;A.4.4.3.39.;Pemasangan 1 m’ plint keramik ukuran 10cm x 20cm;m';Rp110.579
224;PPL44;A.4.4.3.40.;Pemasangan 1 m’ plint keramik ukuran 10cm x 10cm;m';Rp196.835
225;PPL45;A.4.4.3.41.;Pemasangan 1 m’ plint keramik ukuran 5cm x 20cm;m';Rp108.829
226;PPL46;A.4.4.3.42.;Pemasangan 1 m’ plint internal cove artistik 5cm x 5cm x 20cm;m';Rp258.361
227;PPL47;A.4.4.3.43.;Pemasangan 1 m2 lantai marmer ukuran 100cm x 100cm;m2;Rp405.105
228;PPL48;A.4.4.3.44.;Pemasangan 1 m2 lantai karpet;m2;Rp100.785
229;PPL49;A.4.4.3.45.;Pemasangan 1 m2 underlayer (pelapis bawah karpet);m2;Rp71.217
230;PPL50;A.4.4.3.46.;Pemasangan 1 m2 lantai parquet kayu;m2;Rp427.083
231;PPL51;A.4.4.3.47.;Pemasangan 1 m2 lantai kayu gymfloor;m2;Rp426.968
232;PPL52;A.4.4.3.48.;Pemasangan 1 m2 dinding porslen 11cm x 11cm;m2;Rp289.282
233;PPL53;A.4.4.3.49.;Pemasangan 1 m2 dinding porslen 10cm x 20cm;m2;Rp287.246
234;PPL54;A.4.4.3.50.;Pemasangan 1 m2 dinding porslen 20cm x 20cm;m2;Rp271.069
235;PPL55;A.4.4.3.51.;Pemasangan 1 m2 dinding keramik artistik 10cm x 20cm;m2;Rp287.246
236;PPL56;A.4.4.3.52.;Pemasangan 1 m2 dinding keramik artistik 5cm x 20cm;m2;Rp289.430
237;PPL57;A.4.4.3.53.;Pemasangan 1 m2 dinding keramik 10cm x 20cm;m2;Rp287.246
238;PPL58;A.4.4.3.54.;Pemasangan 1 m2 dinding keramik 20cm x 20cm;m2;Rp272.547
239;PPL59;A.4.4.3.54.a;Pemasangan 1 m2 dinding keramik 20cm x 25cm;m2;Rp275.951
240;PPL60;A.4.4.3.54.b;Pemasangan 1 m2 dinding keramik 25cm x 40cm;m2;Rp279.773
241;PPL61;A.4.4.3.54.c;Pemasangan 1 m2 dinding keramik 30cm x 60cm;m2;Rp283.693
242;PPL62;A.4.4.3.55.;Pemasangan 1 m2 dinding marmer 100cm x 100cm;m2;Rp631.730
243;PPL63;A.4.4.3.56.;Pemasangan 1 m2 dinding bata pelapis 3cm x 7cm x 24cm;m2;Rp414.296
244;PPL64;A.4.4.3.57.;Pemasangan 1 m2 dinding batu paras;m2;Rp142.723
245;PPL65;A.4.4.3.58.;Pemasangan 1 m2 dinding batu tempel hitam;m2;Rp147.300
246;PPL66;A.4.4.3.59.;Pemasangan 1 m2 lantai vynil ukuran 30cm x 30cm;m2;Rp622.079
247;PPL67;A.4.4.3.60.;Pemasangan 1 m2 wallpaper lebar 50 cm;m2;Rp339.613
248;PPL68;A.4.4.3.61.;Pemasangan 1 m2 floor harderner;m2;Rp640.420
249;PPL69;A.4.4.3.62.;Pemasangan 1 m’ plint vynil 15cm x 30cm;m';Rp53.528
250;PPL70;A.4.4.3.63.;Pemasangan 1 m’ plint kayu tebal 2 cm lebar 10 cm;m';Rp57.151
251;PPL71;A.4.4.3.64.;Pemasangan 1 m2 paving block natural tebal 6 cm;m2;Rp132.546
252;PPL72;A.4.4.3.65.;Pemasangan 1 m2 paving block natural tebal 8 cm;m2;Rp161.324
253;PPL73;A.4.4.3.66.;Pemasangan 1 m2 paving block berwarna tebal 6 cm;m2;Rp144.833
254;PPL74;A.4.4.3.67.;Pemasangan 1 m2 paving block berwarna tebal 8 cm;m2;Rp173.246
255;PPL75;A.4.4.3.68.;Pemasangan 1 M2 Aluminium Composite Panel;m2;Rp387.816
;;;;;
PLL;A.4.5.1;HARGA SATUAN PEKERJAAN LANGIT-LANGIT  (PLAFOND);;;
249;PLL1;A.4.5.1.1.;Pemasangan 1 m2 langit-langit asbes semen, tebal 4 mm, 5 mm, dan 6 mm;m2;Rp106.164
250;PLL2;A.4.5.1.2.;Pemasangan 1 m2 langit-langit akustik ukuran (30 x 30) cm;m2;Rp733.971
251;PLL3;A.4.5.1.3.;Pemasangan 1 m2 langit-langit akustik ukuran (30 x 60) cm;m2;Rp701.559
252;PLL4;A.4.5.1.4.;Pemasangan 1 m2 langit-langit akustik ukuran (60 x 120) cm;m2;Rp461.214
253;PLL5;A.4.5.1.5.;Pemasangan 1 m2 langit-langit tripleks ukuran (120 x 240) cm, tebal 3 mm, 4 mm & 6;m2;Rp138.666
254;PLL6;A.4.5.1.6.;Pemasangan 1 m2 langit-langit lambrisering kayu, tebal 9 mm;m2;Rp306.175
255;PLL7;A.4.5.1.7.;Pemasangan 1 m2 langit-langit gypsum board ukuran (120x240x9) mm, tebal 9 mm;m2;Rp50.911
256;PLL8;A.4.5.1.8.;Pemasangan 1 m2 langit-langit akustik ukuran (60 x 120) cm berikut rangka alluminium;m2;Rp896.197
257;PLL9;A.4.5.1.9.;Pemasangan 1 m’ list langit-langit kayu profil;m';Rp160.607
258;PLL10;A.4.5.1.10.;Pemasangan 1 m2 Plafond PVC;m2;Rp182.350
259;PLL11;A.4.5.1.10.;Pemasangan 1 m2 List Plafond PVC;m2;Rp78.298
260;PLL12;A.4.5.1.10.;Pemasangan Rangka Plafon Gypsum Rangka Metal Furing;m2;Rp138.822
261;PLL13;A.4.5.1.10.;Pemasangan Dinding Partisi Double {Pembatas Ruang (gypsum);m2;Rp459.283
262;PLL14;A.4.5.1.10.;Pemasangan Rangka Plafon Hollow;m2;Rp147.729
;;;;;
PPA;A.4.5.2.;HARGA SATUAN PEKERJAAN PENUTUP ATAP;;;
263;PPA1;A.4.5.2.1.;Pemasangan 1 m2 atap genteng palentong kecil;m2;Rp68.966
264;PPA2;A.4.5.2.2.;Pemasangan 1 m2 atap genteng kodok ;m2;Rp82.712
265;PPA3;A.4.5.2.3.;Pemasangan 1 m2 atap genteng palentong besar/super;m2;Rp173.706
266;PPA4;A.4.5.2.4.;Pemasangan 1 m’ bubung genteng palentong;m';Rp169.547
267;PPA5;A.4.5.2.5.;Pemasangan 1 m’ bubung genteng kodok ;m';Rp169.547
268;PPA6;A.4.5.2.6.;Pemasangan 1 m’ bubung genteng palentong besar;m';Rp151.698
269;PPA7;A.4.5.2.7.;Pemasangan 1 m2 roof light fibreglass 90x180;m2;Rp112.068
270;PPA8;A.4.5.2.8.;Pemasangan 1 m2 atap asbes gelombang 0,92mx2,5m x 5mm;m2;Rp98.239
271;PPA9;A.4.5.2.9.;Pemasangan 1 m2 atap asbes gelombang 0,92mx2,25m  x 5mm;m2;Rp112.573
272;PPA10;A.4.5.2.10.;Pemasangan 1 m2 atap asbes gelombang 0,92mx2,00m  x 5mm;m2;Rp111.798
273;PPA11;A.4.5.2.11.;Pemasangan 1 m2 atap asbes gelombang 0,92mx1.80m  x 5mm;m2;Rp133.299
274;PPA12;A.4.5.2.12.;Pemasangan 1 m2 atap asbes gelombang 1.05mx3.00m  x 4mm;m2;Rp75.965
275;PPA13;A.4.5.2.13.;Pemasangan 1 m2 atap asbes gelombang 1.05mx2.70m  x 4mm;m2;Rp85.998
276;PPA14;A.4.5.2.14.;Pemasangan 1 m2 atap asbes gelombang 1.05mx2.40m  x 4mm;m2;Rp88.865
277;PPA15;A.4.5.2.15.;Pemasangan 1 m2 atap asbes gelombang 1.05mx2.10m  x 4mm;m2;Rp98.898
278;PPA16;A.4.5.2.16.;Pemasangan 1 m2 atap asbes gelombang 1.05mx1.50m  x 4mm;m2;Rp140.466
279;PPA17;A.4.5.2.17.;Pemasangan 1 m2 atap asbes gelombang 1.08mx3.00m  x 6mm;m2;Rp78.831
280;PPA18;A.4.5.2.18.;Pemasangan 1 m2 atap asbes gelombang 1.08mx2.70m  x 6mm;m2;Rp80.265
281;PPA19;A.4.5.2.19.;Pemasangan 1 m2 atap asbes gelombang 1.08mx2.40m  x 6mm;m2;Rp91.731
282;PPA20;A.4.5.2.20.;Pemasangan 1 m2 atap asbes gelombang 1.08mx2.10m  x 6mm;m2;Rp96.032
283;PPA21;A.4.5.2.21.;Pemasangan 1 m2 atap asbes gelombang 1.08mx1.80m  x 6mm;m2;Rp107.498
284;PPA22;A.4.5.2.22.;Pemasangan 1 m’ bubung stel gelombang 0,92m;m';Rp406.863
285;PPA23;A.4.5.2.23.;Pemasangan 1 m’ bubung stel gelombang 1,05m;m';Rp373.783
286;PPA24;A.4.5.2.24.;Pemasangan 1 m’ bubung stel gelombang 1,08m;m';Rp368.269
287;PPA25;A.4.5.2.25.;Pemasangan 1 m’ nok paten 0,92m;m';Rp199.776
288;PPA26;A.4.5.2.26.;Pemasangan 1 m’ nok paten 1,05m;m';Rp199.776
289;PPA27;A.4.5.2.27.;Pemasangan 1 m’ nok paten 1,08m;m';Rp199.776
290;PPA28;A.4.5.2.28.;Pemasangan 1 m’ nok stel rata 0,92m;m';Rp199.292
291;PPA29;A.4.5.2.29.;Pemasangan 1 m’ nok stel rata 1,05m;m';Rp194.980
292;PPA30;A.4.5.2.30.;Pemasangan 1 m2 genteng beton;m2;Rp144.879
293;PPA31;A.4.5.2.31.;Pemasangan 1 m2 genteng aspal;m2;Rp209.110
294;PPA32;A.4.5.2.32.;Pemasangan 1 m2 genteng metal ukuran 80 x 100 atap pelana;m2;Rp39.312
295;PPA33;A.4.5.2.33.;Pemasangan 1 m2 genteng metal ukuran 80 x 100 atap Jurai;m2;Rp40.921
296;PPA34;A.4.5.2.34.;Pemasangan 1 m2 atap sirap kayu;m2;Rp297.923
297;PPA35;A.4.5.2.35.;Pemasangan 1 m’ nok genteng beton;m';Rp122.569
298;PPA36;A.4.5.2.36.;Pemasangan 1 m’ nok genteng aspal;m';Rp172.427
299;PPA37;A.4.5.2.37.;Pemasangan 1 m’ nok genteng metal;m';Rp85.129
300;PPA38;A.4.5.2.38.;Pemasangan 1 m’ nok sirap;m';Rp203.868
301;PPA39;A.4.5.2.39.;Pemasangan 1 m2 atap seng gelombang;m2;Rp102.341
302;PPA40;A.4.5.2.40.;Pemasangan 1 m’nok atap seng;m';Rp144.888
303;PPA41;A.4.5.2.41.;Pemasangan 1 m2 atap alumunium;m2;Rp284.685
304;PPA42;A.4.5.2.42.;Pemasangan 1 m’ nok alumunium;m';Rp200.374
305;PPA43;A.4.5.2.43.;Pemasangan 1 m2 alumunium foil/sisalation;m2;Rp31.736
;;;;;
PK;A.4.6.1;HARGA SATUAN PEKERJAAN KAYU;;;
306;PK1;A.4.6.1.1.;Pembuatan dan pemasangan 1 m3 kusen pintu dan kusen jendela, kayu kelas I;m3;Rp13.981.409
307;PK2;A.4.6.1.2.;Pembuatan dan pemasangan 1 m3 kusen pintu dan kusen jendela, kayu kelas II atau III;m3;Rp14.481.616
308;PK3;A.4.6.1.3.;Pembuatan dan pemasangan 1 m2 pintu klamp standar, kayu kelas II;m2;Rp606.159
309;PK4;A.4.6.1.4.;Pembuatan dan pemasangan 1 m2 pintu klamp sederhana, kayu kelas III;m2;Rp606.159
310;PK5;A.4.6.1.5.;Pembuatan dan pemasangan 1 m2 daun pintu panel, kayu kelas I atau II;m2;Rp952.422
311;PK6;A.4.6.1.6.;Pembuatan dan pemasangan 1 m2 pintu dan jendela kaca, kayu kelas I atau II;m2;Rp664.386
312;PK7;A.4.6.1.7.;Pembuatan dan pemasangan 1 m2 pintu dan jendela jalusi kayu kelas I atau II;m2;Rp1.217.911
313;PK8;A.4.6.1.8.;Pembuatan 1 m2 daun pintu plywood rangkap, rangka kayu kelas II tertutup;m2;Rp776.018
314;PK9;A.4.6.1.9.;Pembuatan 1 m2 pintu plywood rangkap, rangka expose kayu kelas I atau II;m2;Rp829.122
315;PK10;A.4.6.1.10.;Pemasangan 1 m2 jalusi kusen, kayu kelas I atau II;m2;Rp1.013.459
316;PK11;A.4.6.1.11.;Pemasangan 1 m2 teakwood rangkap, rangka expose kayu kelas I;m2;Rp905.880
317;PK12;A.4.6.1.12.;Pemasangan 1 m2 teakwood rangkap lapis formika, rangka expose kayu kelas II;m2;Rp1.074.042
318;PK13;A.4.6.1.13.;Pemasangan 1 m3 konstruksi kuda-kuda konvensional,  kayu kelas I, II dan III bentang 6 m;m3;Rp12.746.851
319;PK14;A.4.6.1.14.;Pemasangan 1 m3 konstruksi kuda-kuda expose, kayu kelas I;m3;Rp14.966.312
320;PK15;A.4.6.1.15.;Pemasangan 1 m3 konstruksi gordeng, kayu kelas II;m3;Rp13.950.196
321;PK16;A.4.6.1.16.;Pemasangan 1 m2 rangka atap genteng keramik, kayu kelas II;m2;Rp238.264
322;PK17;A.4.6.1.17.;Pemasangan 1 m2 rangka atap genteng beton, kayu kelas II;m2;Rp287.119
323;PK18;A.4.6.1.18.;Pemasangan 1 m2 rangka atap sirap, kayu kelas II;m2;Rp156.348
324;PK19;A.4.6.1.19.;Pemasangan 1 m2 rangka langit-langit (50 x 100) cm, kayu kelas II atau III;m2;Rp179.886
325;PK20;A.4.6.1.20.;Pemasangan 1 m2 rangka langit-langit (60 x 60) cm, kayu kelas II atau III;m2;Rp184.835
326;PK21;A.4.6.1.21.;Pemasangan 1 m’ lisplank ukuran (3 x 20) cm, kayu kelas I atau kelas II;m';Rp156.015
327;PK22;A.4.6.1.22.;Pemasangan 1 m’ lisplank ukuran (3 x 30) cm, kayu kelas I atau kelas II;m';Rp157.242
328;PK23;A.4.6.1.23.;Pemasangan 1 m2 rangka dinding pemisah (60 x 120) cm kayu kelas II atau III;m2;Rp342.880
329;PK24;A.4.6.1.24.;Pemasangan 1 m2 dinding pemisah teakwood rangkap, rangka kayu kelas II;m2;Rp602.649
330;PK25;A.4.6.1.25.;Pemasangan 1 m2 dinding pemisah plywood rangkap, rangka kayu kelas II;m2;Rp527.132
331;PK26;A.4.6.1.26.;Pemasangan 1 m2 dinding lambrisering dari Kayu Papan kelas I;m2;Rp361.160
332;PK27;A.4.6.1.27.;Pemasangan 1 m2 dinding lambrisering dari plywood ukuran (120 x 240) cm;m2;Rp63.963
333;PK28;A.4.6.1.28.;Pemasangan 1 m2 dinding bilik, rangka kayu kelas III atau IV;m2;Rp154.823
;;;;;
PKK;A.4.6.2;HARGA SATUAN PEKERJAAN KUNCI DAN KACA;;;
334;PKK1;A.4.6.2.1.;Pemasangan 1 buah kunci tanam antik;Buah;Rp343.910
335;PKK2;A.4.6.2.2.;Pemasangan 1 buah kunci tanam biasa;Buah;Rp283.151
336;PKK3;A.4.6.2.3.;Pemasangan 1 buah kunci kamar mandi;Buah;Rp336.929
337;PKK4;A.4.6.2.4.;Pemasangan 1 buah kunci silinder;Buah;Rp309.773
338;PKK5;A.4.6.2.5.;Pemasangan 1 buah engsel pintu;Buah;Rp125.896
339;PKK6;A.4.6.2.6.;Pemasangan 1 buah engsel jendela kupu-kupu;Buah;Rp125.865
340;PKK7;A.4.6.2.7.;Pemasangan 1 buah engsel angin;Buah;Rp98.633
341;PKK8;A.4.6.2.8.;Pemasangan 1 buah spring knip;Buah;Rp49.793
342;PKK9;A.4.6.2.9.;Pemasangan 1 buah kait angin;Buah;Rp26.907
343;PKK10;A.4.6.2.10.;Pemasangan 1 buah door closer;Buah;Rp277.564
344;PKK11;A.4.6.2.11.;Pemasangan 1 buah kunci slot;Buah;Rp282.281
345;PKK12;A.4.6.2.12.;Pemasangan 1 buah Door holder;Buah;Rp195.220
346;PKK13;A.4.6.2.13.;Pemasangan 1 buah door stop;Buah;Rp118.966
347;PKK14;A.4.6.2.14.;Pemasangan 1 buah Rrel pintu sorong;Buah;Rp165.315
348;PKK15;A.4.6.2.15.;Pemasangan 1 buah kunci lemari;Buah;Rp178.944
349;PKK16;A.4.6.2.16.;Pemasangan 1 m2 kaca tebal 3 mm;m2;Rp192.817
350;PKK17;A.4.6.2.17.;Pemasangan 1 m2 kaca tebal 5 mm;m2;Rp250.633
351;PKK18;A.4.6.2.18.;Pemasangan 1 m2 kaca tebal 8 mm;m2;Rp471.205
352;PKK19;A.4.6.2.19.;Pemasangan 1 m2 kaca buram tebal 12 mm;m2;Rp607.452
353;PKK20;A.4.6.2.20.;Pemasangan 1 m2 kaca cermin tebal 5 mm;m2;Rp264.971
354;PKK21;A.4.6.2.21.;Pemasangan 1 m2 kaca cermin tebal 8 mm;m2;Rp479.306
355;PKK22;A.4.6.2.22.;Pemasangan 1 m2 kaca wireglassed tebal 5 mm;m2;Rp252.083
356;PKK23;A.4.6.2.23.;Pemasangan 1 m2 kaca patri tebal 5 mm;m2;Rp257.494
;;;;;
PC;A.4.7.1;HARGA SATUAN PEKERJAAN PENGECATAN;;;
357;PC1;A.4.7.1.1.;Pengikisan/pengerokan 1 m2 permukaan cat lama;m2;Rp17.129
358;PC2;A.4.7.1.2.;Pencucian 1 m2 bidang permukaan tembok yang pernah dicat;m2;Rp16.346
359;PC3;A.4.7.1.3.;Pengerokan 1 m2 karat pada permukaan baja cara manual;m2;Rp16.954
360;PC4;A.4.7.1.4.;Pengecatan 1 m2 bidang kayu baru (1 lapis plamuur, 1 lapis cat dasar, 2 lapis cat penutup);m2;Rp73.422
361;PC5;A.4.7.1.5.;Pengecatan 1 m2 bidang kayu baru (1 lapis plamuur, 1 lapis cat dasar, 3 lapis cat Penutup);m2;Rp91.514
362;PC6;A.4.7.1.6.;Pelaburan 1 m2 bidang kayu dengan teak oil;m2;Rp22.335
363;PC7;A.4.7.1.7.;Pelaburan 1 m2 bidang kayu dengan politur;m2;Rp107.910
364;PC8;A.4.7.1.8.;Pelaburan 1 m2 bidang kayu dengan cat residu dan ter;m2;Rp16.470
365;PC9;A.4.7.1.9.;Pelaburan 1 m2 bidang kayu dengan vernis;m2;Rp47.193
366;PC10;A.4.7.1.10.;Pengecatan 1 m2 tembok baru ( 1lapis plamuur, 1 lapis cat dasar, 2 lapis cat penutup);m2;Rp35.897
367;PC11;A.4.7.1.11.;Pengecatan 1 m2 tembok lama ( 1 lapis cat dasar, 2 lapis cat penutup);m2;Rp25.884
368;PC12;A.4.7.1.12.;Pelaburan 1 m2 tembok dengan kalkarium;m2;Rp24.975
369;PC13;A.4.7.1.13.;Pelaburan 1 m2 tembok dengan kapur sirih;m2;Rp18.726
370;PC14;A.4.7.1.14.;Pelaburan 1 m2 tembok lama dengan kapur sirih (pemeliharaan);m2;Rp9.850
371;PC15;A.4.7.1.15.;Pemasangan 1 m2 wallpaper;m2;Rp186.147
372;PC16;A.4.7.1.16.;Pengecatan 1 m2 permukaan baja dengan menie besi;m2;Rp33.349
373;PC17;A.4.7.1.17.;Pengecatan 1 m2 permukaan baja dengan menie besi dengan perancah;m2;Rp71.346
374;PC18;A.4.7.1.18.;Pengecatan 1 m2 permukaan baja galvanis secara manual 4 lapis;m2;Rp77.251
375;PC19;A.4.7.1.19.;Pengecatan 1 m2 permukaan baja galvanis secara manual sistem 1 lapis cat mutakhir;m2;Rp41.643
376;PC20;A.4.7.1.20.;Pengecatan 1 m2 permukaan baja galvanis secara manual sistem 3 lapis;m2;Rp170.957
377;PC21;A.4.7.1.21.;Pengecatan 1 m2 permukaan baja galvanis secara semprot sistem 3 lapis cat mutakhir;m2;Rp153.560
378;PC22;A.4.7.1.22.;Plituran 10 m2 dengan plitur melamic;m2;Rp153.691
;;;;;
PSD;A.5.1.1;HARGA SATUAN PEKERJAAN SANITASI DALAM GEDUNG;;;
379;PSD1;A.5.1.1.1.;(K3) Pemasangan 1 buah closet duduk/monoblock;Buah;Rp1.365.310
380;PSD2;A.5.1.1 2.;Pemasangan 1 buah closet jongkok porslen;Buah;Rp729.895
381;PSD3;A.5.1.1 3.;Pemasangan 1 buah closet jongkok teraso;Buah;Rp721.891
382;PSD4;A.5.1.1 4.;(K3) Pemasangan 1 buah urinoir;Buah;Rp383.613
383;PSD5;A.5.1.1 5.;(K3) Pemasangan 1 buah wastafel;Buah;Rp1.343.045
384;PSD6;A.5.1.1 6.;(K3) Pemasangan 1 buah bathcuip porselen;Buah;Rp1.015.019
385;PSD7;A.5.1.1 7.;(K3) Pemasangan 1 buah bak fibreglass vol 1 m3;Buah;Rp1.369.135
386;PSD8;A.5.1.1 8.;(K3) Pemasangan 1 buah bak mandi batu bata vol 0,30 m3;Buah;Rp1.814.700
387;PSD9;A.5.1.1 9.;Pemasangan 1 buah bak mandi teraso vol 0,30 m3;Buah;Rp1.369.135
388;PSD10;A.5.1.1 10.;Pemasangan 1 buah bak air fibreglass vol 1 m3;Buah;Rp551.428
389;PSD11;A.5.1.1 11.;Pemasangan 1 buah bak beton volume 1 m3;Buah;Rp27.483.790
390;PSD12;A.5.1.1 12.;Pemasangan 1 buah bak cuci piring stainlessteel;Buah;Rp339.379
391;PSD13;A.5.1.1 13.;Pemasangan 1 buah bak cuci piring teraso;Buah;Rp400.967
392;PSD14;A.5.1.1 14.;Pemasangan 1 buah floor drain;Buah;Rp89.730
393;PSD15;A.5.1.1 15.;Pemasangan 1 buah bak kontrol pasangan bata 30x30 tinggi 35 cm;Buah;Rp460.812
394;PSD16;A.5.1.1 16.;Pemasangan 1 buah bak kontrol pasangan bata 45cm x45cm tinggi 50 cm;Buah;Rp692.573
395;PSD17;A.5.1.1 17.;Pemasangan 1 buah bak kontrol pasangan bata 60cm x60cm tinggi 65 cm;Buah;Rp839.069
396;PSD18;A.5.1.1 18.;Pemasangan 1 m’ pipa galvanis diameter ½”;m';Rp49.817
397;PSD19;A.5.1.1 19.;Pemasangan 1 buah kran diameter ½” atau 3/4”;Buah;Rp90.318
398;PSD20;A.5.1.1 20.;Pemasangan 1 m’ pipa galvanis diameter 3/4”;m';Rp57.977
399;PSD21;A.5.1.1 21.;Pemasangan 1 m’ pipa galvanis diameter 1”;m';Rp78.554
400;PSD22;A.5.1.1 22.;Pemasangan 1 m’ pipa galvanis diameter 1 ½”;m';Rp121.351
401;PSD23;A.5.1.1 23.;Pemasangan 1 m’ pipa galvanis diameter 3”;m';Rp237.784
402;PSD24;A.5.1.1 24.;Pemasangan 1 m’ pipa galvanis diameter 4”;m';Rp325.769
403;PSD25;A.5.1.1 25.;Pemasangan 1 m’ pipa PVC tipe AW diameter 1/2”;m';Rp22.752
404;PSD26;A.5.1.1 26.;Pemasangan 1 m’ pipa PVC tipe AW diameter 3/4”;m';Rp22.752
405;PSD27;A.5.1.1 27.;Pemasangan 1 m’ pipa PVC tipe AW diameter 1”;m';Rp25.945
406;PSD28;A.5.1.1 28.;Pemasangan 1 m’ pipa PVC tipe AW diameter 11/2”;m';Rp43.175
407;PSD29;A.5.1.1 29.;Pemasangan 1 m’ pipa PVC tipe AW diameter 2”;m';Rp48.142
408;PSD30;A.5.1.1 30.;Pemasangan 1 m’ pipa PVC tipe AW diameter 21/2”;m';Rp70.378
409;PSD31;A.5.1.1 31.;Pemasangan 1 m’ pipa PVC tipe AW diameter 3”;m';Rp85.101
410;PSD32;A.5.1.1 32.;Pemasangan 1 m’ pipa PVC tipe AW diameter 4”;m';Rp125.546
411;PSD33;A.5.1.1 33.;Pemasangan 1 m’ pipa air limbah jenis pipa tanah;m';Rp214.814
412;PSD34;A.5.1.1 34.;Pemasangan 1 m’ pipa air limbah jenis pipa tanah diameter 15 cm;m';Rp164.019
413;PSD35;A.5.1.1 35.;Pemasangan 1 m’ pipa beton diameter 15 - 20 cm;m';Rp168.856
414;PSD36;A.5.1.1.36.;Pemasangan 1 m’ pipa beton diameter 30 - 100 cm;m';Rp223.819
;PSD37;A.5.1.1.37.;Pemasangan 1 m’ buis beton beton diameter 20 cm;m';Rp106.584
;PSD38;A.5.1.1.38.;Pemasangan 1 m’ buis beton beton diameter 30 cm;m';Rp146.332
;PSD39;A.5.1.1.39.;Pemasangan 1 buah roof drain;Buah;Rp90.239
;;;;;
PPP;A.8.4.1;HARGA SATUAN PEKERJAAN PEMASANGAN  PIPA;;;
415;PPP1;A.8.4.1.1;(K3) Pemasangan 1 m pipa PVC Ø 63 mm;m';Rp21.364
416;PPP2;A.8.4.1.2;(K3) Pemasangan 1 m pipa PVC Ø 90 mm;m';Rp24.064
417;PPP3;A.8.4.1.3;(K3) Pemasangan 1 m pipa PVC Ø 110 mm;m';Rp26.571
418;PPP4;A.8.4.1.4;(K3) Pemasangan 1 m pipa PVC Ø 150 mm;m';Rp30.366
419;PPP5;A.8.4.1.5;(K3) Pemasngan 1 m pipa PVC Ø 200 mm;m';Rp46.847
420;PPP6;A.8.4.1.6;(K3) Pemasangan 1 m pipa PVC Ø 250 mm;m';Rp63.959
421;PPP7;A.8.4.1.7;(K3) Pemasangan 1 m pipa PVC Ø 300 mm;m';Rp76.662
422;PPP8;A.8.4.1.8;(K3) Pemasangan 1 m pipa PVC Ø 400 mm;m';Rp131.761
423;PPP9;A.8.4.1.9;(K3) Pemasangan 1 m pipa PVC Ø 450 mm;m';Rp161.451
424;PPP10;A.8.4.1.10;(K3) Pemasangan 1 m pipa PVC Ø 500 mm;m';Rp199.955
425;PPP11;A.8.4.1.11;(K3) Pemasangan 1 m pipa PVC Ø 600 mm;m';Rp236.461
426;PPP12;A.8.4.1.12;(K3) Pemasangan 1 m pipa PVC Ø 800 mm;m';Rp380.609
427;PPP13;A.8.4.1.13;(K3) Pemasangan 1 m pipa PVC Ø 900 mm;m';Rp403.642
428;PPP14;A.8.4.1.14;(K3) Pemasangan 1 m pipa PVC Ø 1000 mm;m';Rp450.852
429;PPP15;A.8.4.1.15;(K3) Pemasangan 1 m pipa PVC Ø 1100 mm;m';Rp512.974
430;PPP16;A.8.4.1.16;(K3) Pemasangan 1 m pipa PVC Ø 1200 mm;m';Rp556.887
431;PPP17;A.8.4.1.17;(K3) Pemasangan 1 m pipa HDPE Ø 63 mm;m';Rp25.839
