REKAP ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;
;;;;;
;;;;;
;;;;;
HARGA SATUAN PEKERJAAN;;;;;
No;Kode;;Jenis Pekerjaan;Satuan;Harga
49;PB8;A.4.1.1.8.;Membuat 1 m3 beton mutu f’= 21,7 MPa (K 250), slump (120 ± 20) mm, w/c = 0,56;m3;Rp1.021.028
50;PB9;A.4.1.1.9.;Membuat 1 m3 beton mutu f’ = 24,0 MPa (K 275), slump (120 ± 20) mm, w/c = 0,53;m3;Rp1.047.692
51;PB10;A.4.1.1.10.;Membuat 1 m3 beton mutu f’c = 26,4 MPa (K 300), slump (120 ± 20) mm, w/c = 0,52;m3;Rp1.055.959
52;PB11;A.4.1.1.11.;Membuat 1 m3 beton mutu f’c = 28,8 MPa (K 325), slump (120 ± 20) mm, w/c = 0,49;m3;Rp1.144.636
53;PB12;A.4.1.1.12.;Membuat 1 m3 beton mutu f’c = 31,2 MPa (K 350), slump (120 ± 20) mm, w/c = 0,48;m3;Rp1.155.477
54;PB13;A.4.1.1.13;Membuat 1 m3 beton kedap air dengan strorox - 100;m3;Rp1.025.924
55;PB14;A.4.1.1.14;Pemasangan 1 m’ PVC Waterstop lebar 150 mm;m';Rp243.786
56;PB15;A.4.1.1.15;Pemasangan 1 m’ PVC Waterstop lebar 200 mm;m';Rp315.963
57;PB16;A.4.1.1.16;Membuat 1 m’ PVC Waterstop lebar 230 mm - 320 mm;m';Rp348.542
58;PB17;A.4.1.1.17;Pembesian 10 kg dengan besi polos atau besi ulir;10kg;Rp133.378
59;PB18;A.4.1.1.18;Pemasangan 10 kg kabel presstressed polos/strands;10kg;Rp128.020
60;PB19;A.4.1.1.19;Pemasangan 10 kg jaring kawat baja (wiremesh);10kg;Rp433.495
61;PB20;A.4.1.1.20;(K3) Pemasangan 1 m2 bekisting untuk pondasi;m2;Rp188.272
62;PB21;A.4.1.1.21;(K3) Pemasangan 1 m2 bekisting untuk sloof;m2;Rp199.709
63;PB22;A.4.1.1.22;(K3) Pemasangan 1 m2 bekisting untuk kolom;m2;Rp330.010
64;PB23;A.4.1.1.23;(K3) Pemasangan 1 m2 bekisting untuk balok;m2;Rp342.459
65;PB24;A.4.1.1.24;(K3) Pemasangan 1 m2 bekisting untuk lantai;m2;Rp465.790
66;PB25;A.4.1.1.25;(K3) Pemasangan 1 m2 bekisting untuk dinding;m2;Rp493.716
67;PB26;A.4.1.1.26;(K3) Pemasangan 1 m2 bekisting untuk tangga;m2;Rp317.615
68;PB27;A.4.1.1.27;Pemasangan 1 m2 jembatan untuk pengecoran beton;m2;Rp128.350
69;PB28;A.4.1.1.28;Membuat 1 m3 pondasi beton bertulang (150 kg besi + bekisting);m3;Rp3.409.134
70;PB29;A.4.1.1.29;Membuat 1 m3 sloof beton bertulang (200 kg besi + bekisting);m3;Rp4.124.217
71;PB30;A.4.1.1.30;Membuat 1 m3 kolom beton bertulang (300 kg besi + bekisting);m3;Rp9.872.233
72;PB31;A.4.1.1.31;Membuat 1 m3 balok beton bertulang (200 kg besi + bekisting);m3;Rp7.826.864
73;PB32;A.4.1.1.32;Membuat 1 m3 kolom beton bertulang (150 kg besi + bekisting);m3;Rp7.963.552
74;PB33;A.4.1.1.33;Membuat 1 m3 dinding beton bertulang (150 kg besi + bekisting);m3;Rp7.083.303
75;PB34;A.4.1.1.34;Membuat 1 m3 dinding beton bertulang (200 kg besi + bekisting);m3;Rp7.073.347
76;PB35;A.4.1.1.35;Membuat 1 m’ kolom praktis beton bertulang (11 x 11) cm;m';Rp125.912
77;PB36;A.4.1.1.36;Membuat 1 m’ ring balok beton bertulang (10 x 15) cm;m';Rp149.546
;;;;;
PB;A.4.1.2;HARGA SATUAN PEKERJAAN BETON PRACETAK;;;
78;PB37;A.4.1.2.1.;(K3) Pembuatan 1 m2 lahan produksi tebal 8cm beton f’c 14,5 Mpa (K 175) slump (120 ± 20) mm;m2;Rp76.109
79;PB38;A.4.1.2.2.;(K3) Pembuatan 1 m2 lahan produksi tebal 10 cm beton f’c 14,5 Mpa (K 175) slump (120 ± 20) mm;m2;Rp95.157
80;PB39;A.4.1.2.3.;(K3) Pembuatan 1 m2 lahan produksi tebal 12 cm beton f’c 14,5 Mpa (K 175) slump (120 ± 20) mm;m2;Rp104.522
81;PB40;A.4.1.2.4.;(K3) Pembuatan 1 m2 lahan produksi tebal 15 cm beton f’c 14,5 Mpa (K 175) slump (120 ± 20) mm;m2;Rp142.743
82;PB41;A.4.1.2.5.;Pembuatan 1 m2 bekisting untuk plat beton pracetak ( 5 kali pakai);m2;Rp344.941
83;PB42;A.4.1.2.6.;Pembuatan 1 m2 bekisting untuk balok beton pracetak ( 10-12 kali pakai);m2;Rp76.117
84;PB43;A.4.1.2.7.;Pembuatan 1 m2 bekisting untuk kolom beton pracetak (10-12 kali pakai);m2;Rp69.893
85;PB44;A.4.1.2.8.;Pemasangan dan membuka bekisting 1 buah komponen plat beton pracetak;Buah;Rp7.937
86;PB45;A.4.1.2.9.;Pemasangan dan membuka bekisting 1 buah komponen balok beton pracetak;Buah;Rp12.890
87;PB46;A.4.1.2.10.;Pemasangan dan membuka bekisting 1 buah komponen Kolom beton pracetak;Buah;Rp10.413
88;PB47;A.4.1.2.11.;Penuangan/menebar beton untuk 1 buah komponen plat pracetak;Buah;Rp59.256
89;PB48;A.4.1.2.12.;Penuangan/menebar beton untuk 1 buah komponen balok pracetak;Buah;Rp60.972
90;PB49;A.4.1.2.13.;Penuangan/menebar beton untuk 1 buah komponen kolom pracetak;Buah;Rp54.864
91;PB50;A.4.1.2.14.;Ereksi 1 buah komponen untuk pelat pracetak;Buah;Rp344.648
92;PB51;A.4.1.2.15.;Ereksi 1 buah komponen untuk balok pracetak;Buah;Rp321.598
93;PB52;A.4.1.2.16.;Ereksi 1 buah komponen untuk Kolom pracetak;Buah;Rp491.634
94;PB53;A.4.1.2.17.;Melangsir 1 buah komponen plat pracetak ( ± 20 m);Buah;Rp67.126
95;PB54;A.4.1.2.18.;Melangsir 1 buah komponen balok pracetak ( ± 20 m);Buah;Rp67.126
96;PB55;A.4.1.2.19.;Melangsir 1 buah komponen kolom pracetak ( ± 20 m);Buah;Rp67.126
97;PB56;A.4.1.2.20.;Bahan 1 m3 grouting campuran;m3;Rp6.433.508
98;PB57;A.4.1.2.21.;Bahan 1 m3 grouting tidak campuran;m3;Rp8.711.163
99;PB58;A.4.1.2.22.;Upah melakukan 1 titik grouting pada join pracetak;Titik;Rp52.469
100;PB59;A.4.1.2.23.;Pemasangan 1 titik Bekisting join pracetak;Titik;Rp147.034
101;PB60;A.4.1.2.24.;Upah 1 titik Join dengan Sling;Titik;Rp70.957
;;;;;
PBA;A.4.2.1;HARGA SATUAN PEKERJAAN BESI DAN ALUMUNIUM;;;
102;PBA1;A.4.2.1.1.;Pemasangan 1 kg besi profil;1 kg;Rp28.658
103;PBA2;A.4.2.1.2.;Pemasangan 1 kg rangka kuda-kuda baja IWF;1 kg;Rp28.658
104;PBA3;A.4.2.1.3.;Pengerjaan 100 kg pekerjaan perakitan;100 kg;Rp268.320
105;PBA4;A.4.2.1.4.;Pembuatan 1 m2 pintu besi plat baja tebal 2 mm rangkap, rangka baja siku;m2;Rp1.177.428
106;PBA5;A.4.2.1.5.;Pengerjaan 10 cm pengelasan dengan las listrik;10 cm;Rp141.151
107;PBA6;A.4.2.1.6.;Pembuatan 1 m2 rangka jendela besi scuare tube/Pipa kotak (25 x 5) cm;m2;Rp320.303
108;PBA7;A.4.2.1.7.;Pemasangan 1 m2 pintu rolling door besi;m2;Rp515.073
109;PBA8;A.4.2.1.8.;Pemasangan 1 m2 pintu lipat (folding door) bahan plastik/PVC;m2;Rp358.663
110;PBA9;A.4.2.1.9.;Pemasangan 1 m2 sunscreen alluminium;m2;Rp299.772
111;PBA10;A.4.2.1.10.;Pemasangan 1 m2 rolling door alluminium;m2;Rp490.505
112;PBA11;A.4.2.1.11.;Pemasangan 1 m kusen pintu alluminium;m';Rp88.640
113;PBA12;A.4.2.1.12.;Pemasangan 1 m2 pintu alluminium strip lebar 8 cm;m2;Rp477.006
114;PBA13;A.4.2.1.13.;Pemasangan 1 m2 pintu kaca rangka alluminium;m2;Rp1.236.129
115;PBA14;A.4.2.1.14.;Pemasangan 1 m2 venetions blinds dan Vertical blinds;m2;Rp168.146
116;PBA15;A.4.2.1.15.;Pemasangan 1 m2 terali besi strip (2 x 3) mm;m2;Rp479.000
117;PBA16;A.4.2.1.16.;Pemasangan 1 m2 kawat nyamuk;m2;Rp91.062
118;PBA17;A.4.2.1.17.;Pemasangan 1 m2 jendela nako & tralis;m2;Rp478.702
119;PBA18;A.4.2.1.18.;Pemasangan 1 m’ talang datar/ jurai seng bjls 28 lebar 90 cm;m';Rp259.046
120;PBA19;A.4.2.1.19;Pemasangan 1 m talang ½ lingkaran D-15 cm, seng plat bjls 30 lebar 45 cm;m';Rp114.392
121;PBA20;A.4.2.1.20.;Pemasangan 1 m2 rangka besi hollow 1x40.40.2mm,  modul 60 x 120 cm, dinding partisi;m2;Rp211.273
122;PBA21;A.4.2.1.21.;Pemasangan 1 m2 rangka besi hollow 1x40.40.2mm,  modul 60 x 60 cm, plafon;m2;Rp247.534
123;PBA22;A.4.2.1.22.;(K3) Pemasangan 1 m2 atap pelana rangka atap baja canai dingin profil C75;m2;Rp261.258
124;PBA23;A.4.2.1.23.;(K3) Pemasangan 1 m2 atap jurai rangka atap baja canai dingin profil C75;m2;Rp255.266
125;PBA24;A.4.2.1.24.;Pemasangan 1 M2 Pasang Kuda-Kuda Baja Ringan + Reng Untuk Atap Genteng Biasa/Metal;m2;Rp882.557
;PBA25;A.4.2.1.25.;Pemasangan 1 M2 Aluminium Composite Panel (ACP) Lengkap Dengan Rangka;m2;Rp989.949
;;;;;
PPD;A.4.4.1;HARGA SATUAN PEKERJAAN PASANGAN DINDING;;;
126;PPD1;A.4.4.1.1.;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal 1 batu campuran 1 SP : 2 PP;m2;Rp266.866
127;PPD2;A.4.4.1.2.;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal 1 batu campuran 1 SP : 3 PP;m2;Rp254.005
128;PPD3;A.4.4.1.3.;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal 1 batu campuran 1 SP : 4 PP;m2;Rp245.532
129;PPD4;A.4.4.1.4.;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal 1 batu campuran 1 SP : 5 PP;m2;Rp240.870
130;PPD5;A.4.4.1.5.;Pemasangan 1 m2 dinding Bata Merah (5x11x22) cm tebal 1 batu campuran 1 SP : 6 PP;m2;Rp238.676
131;PPD6;A.4.4.1.6;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal 1 batu campuran 1SP : 3KP : 10P;m2;Rp226.283
132;PPD7;A.4.4.1.7;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal ½ batu campuran 1SP : 2PP;m2;Rp129.313
133;PPD8;A.4.4.1.8;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal ½ batu campuran 1SP : 3PP;m2;Rp123.331
134;PPD9;A.4.4.1.9;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal ½ batu campuran 1SP :4PP;m2;Rp119.834
135;PPD10;A.4.4.1.10;Pemasangan 1 m2 dinding bata merah (5x11x22)cm tebal ½ batu campuran 1 SP : 5 PP;m2;Rp117.630
136;PPD11;A.4.4.1.11;Pemasangan 1 m2 dinding bata merah (5x11x22)cm tebal ½ batu campuran 1 SP : 6 PP;m2;Rp116.343
137;PPD12;A.4.4.1.12;Pemasangan 1 m2 dinding bata merah (5x11x22)cm tebal ½ batu campuran 1SP : 8 PP;m2;Rp113.995
138;PPD13;A.4.4.1.13;Pemasangan 1 m2 dinding bata merah (5x11x22)cm tebal ½ batu campuran 1SP : 3KP :10P;m2;Rp113.094
139;PPD14;A.4.4.1.14;Pemasangan 1 m2 dinding bata merah (5x11x22)cm tebal ½ batu campuran 1SM : 1KP :1PP;m2;Rp102.970
140;PPD15;A.4.4.1.15;Pemasangan 1 m2 dinding bata merah (5x11x22) cm tebal ½ batu campuran 1SM : 1KP :2P;m2;Rp103.858
141;PPD16;A.4.4.1.16;Pemasangan 1 m2 dinding conblock HB20 campuran 1SP : 3PP;m2;Rp255.553
142;PPD17;A.4.4.1.17;Pemasangan 1 m2 dinding conblock HB20 campuran 1SP:4PP;m2;Rp253.574
143;PPD18;A.4.4.1.18;Pemasangan 1 m2 dinding conblock HB15 campuran 1SP :3PP;m2;Rp208.421
144;PPD19;A.4.4.1.19;Pemasangan 1 m2 dinding conblock HB15 campuran 1SP :4PP;m2;Rp206.800
145;PPD20;A.4.4.1.20;Pemasangan 1 m2 dinding conblock HB10 campuran 1SP :3PP;m2;Rp162.204
146;PPD21;A.4.4.1.21;Pemasangan 1 m2 dinding conblock HB10 campuran 1SP :4PP;m2;Rp161.502
147;PPD22;A.4.4.1.22;Pemasangan 1 m2 dinding terawang (rooster) 12x11x24 campuran 1SP :3PP;m2;Rp314.006
